"501st Legion, 1st Regiment, 3rd Battalion",,,,,,,,,,,
Merit,39017,PASS,,PASS,,PASS,PASS,,,,
Merk,,PASS,,PASS,,PASS,PASS,,,PASS,
Merlin,43641,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
Metro,20330,PASS,,,,,,,,,
Mia,71290,PASS,,PASS,,,PASS,,,PASS,
Middle,42717,PASS,,PASS,,PASS,,,,,
Mikado,63020,PASS,,PASS,,PASS,,,,,
Mike,39393,,,PASS,,PASS,PASS,,,PASS,PASS
Miles,37329,PASS,,PASS,,,PASS,,,PASS,PASS
Milkman,18175,,,PASS,,,,,,,
Miller,1625,,,PASS,,,,,,,
Mimic,9478,PASS,,PASS,,PASS,PASS,,,,
Mimir,88429,PASS,,PASS,,PASS,,,,PASS,PASS
Minashi,11272,PASS,,,,PASS,PASS,,,,
Mingus,60010,,,PASS,,,,,,,
Mirror,72273,PASS,,,,PASS,PASS,PASS,,PASS,PASS
Misha,,PASS,,PASS,,,,,,PASS,PASS
Mister,14129,PASS,PASS,PASS,,PASS,PASS,,,PASS,PASS
Moist,10358,PASS,PASS,,,PASS,PASS,,,PASS,PASS
Molo,5036,PASS,,PASS,,,,,,,
Momentum,47634,PASS,PASS,PASS,,PASS,PASS,,,PASS,PASS
Money,24795,PASS,,PASS,,,,,,PASS,PASS
Mongrel,66068,PASS,,PASS,,PASS,,,,PASS,
Monty,20117,PASS,,PASS,,,PASS,,,,
Moon,2569,PASS,PASS,PASS,,PASS,PASS,,,,
Morge,17790,PASS,PASS,PASS,,PASS,PASS,,,PASS,PASS
Morris,11395,,,PASS,,,,,,,
Morriss,11395,PASS,,,,,,,,,
Mosin,18965,PASS,PASS,PASS,,PASS,PASS,,,PASS,PASS
Muffins,15212,PASS,,PASS,,,,,,,
Mulkot,17304,,,PASS,,,,,,PASS,
Mungus,5550,PASS,,PASS,,,PASS,,,,
Muranyi,90998,PASS,,,,,,,,PASS,
Murdock,36422,PASS,,PASS,,,,,,,
Mustang,86146,PASS,,PASS,,PASS,PASS,,PASS,PASS,
Mutt,11776,PASS,,,,,,,,,
Muzzer,45632,PASS,,PASS,PASS,PASS,PASS,,,PASS,PASS
Myrola,20866,PASS,,PASS,,PASS,PASS,,,,
Mystic,,PASS,,PASS,,,PASS,,,PASS,PASS
Nahrkin,78796,PASS,,PASS,,,,,,PASS,
Napkin,27772,PASS,PASS,PASS,,PASS,PASS,PASS,,PASS,
Narrator,93277,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
Navo,9009,,,,,PASS,,,,PASS,
Neb,45074,PASS,PASS,,,PASS,PASS,,,PASS,PASS
Needles,21225,PASS,PASS,PASS,,PASS,PASS,,,,
Negeta,42361,,,PASS,,,,,,PASS,
Nekro,9191,PASS,,,,,,,,,
Nelson,93060,PASS,,PASS,,PASS,PASS,,,PASS,PASS
Neta,22552,PASS,,PASS,,PASS,PASS,,,PASS,PASS
Nevermore,11671,,,,,PASS,,,,,
Nidus,72892,PASS,,PASS,,,PASS,,,PASS,
Nightingale,,PASS,PASS,PASS,,PASS,PASS,,,PASS,PASS
Nobear,27491,PASS,PASS,PASS,,PASS,PASS,,,PASS,
Nomad,7331,PASS,,,,,,,,,
November,13030,PASS,,PASS,,,PASS,,,,
Noviix,61040,,,,,PASS,PASS,,,,
Nuclear,15080,PASS,PASS,PASS,,PASS,PASS,,,PASS,PASS
Nudder,75071,PASS,,PASS,,,PASS,,,,
Nuwisha,,PASS,,PASS,,,,,,PASS,PASS
Oaksy,11714,PASS,,,,PASS,PASS,,,,
Odd,10255,PASS,PASS,PASS,,PASS,PASS,PASS,,PASS,PASS
Odin,3778,PASS,PASS,PASS,,PASS,PASS,,,PASS,
Oktapius,21994,PASS,,PASS,,PASS,PASS,PASS,,PASS,
Omen,50497,PASS,PASS,PASS,,PASS,PASS,,,PASS,PASS
Oneill,46698,PASS,PASS,PASS,,PASS,PASS,,,PASS,PASS
Onion,17756,PASS,,PASS,,PASS,PASS,,,,
Orange,56893,PASS,PASS,PASS,,PASS,PASS,,,PASS,PASS
Orion,3210,,,PASS,,,,PASS,,,
Osprey,,,,PASS,,PASS,,,,PASS,PASS
Otter,15563,,,PASS,,,,,,,
Owl,12240,PASS,PASS,PASS,,PASS,PASS,,,,
Ozob,58642,PASS,,PASS,,,,,,PASS,PASS
Paladin,21997,PASS,PASS,,,PASS,PASS,PASS,,PASS,PASS
Paladub,21997,,,PASS,,,,,,,
Panther,55672,PASS,,PASS,,PASS,PASS,PASS,,PASS,
Parker,39812,PASS,,PASS,,,,,,PASS,
Parkes,31841,PASS,,PASS,,,PASS,,,,
Parrott,17019,PASS,PASS,PASS,,PASS,PASS,PASS,,,PASS
Pastor,94700,,,PASS,,,,,,,
Peaches,56784,PASS,,PASS,,PASS,PASS,,,,
Peanut,15161,PASS,,,,,PASS,,,,
Pepper,17107,PASS,,PASS,,,PASS,,,,
Phantom,14081,PASS,,PASS,,PASS,PASS,,,PASS,
Phoenix,67991,PASS,,PASS,,PASS,PASS,,,PASS,
Phos,30110,,,PASS,,,,,,PASS,PASS
Piano,88091,PASS,,PASS,,,,PASS,,PASS,PASS
Pigeon,64641,PASS,,PASS,,PASS,PASS,,,PASS,
Pipit,11080,PASS,,,,PASS,PASS,,,,
Platano,17289,PASS,,PASS,,PASS,PASS,,,PASS,
Player,7757,PASS,,PASS,,PASS,,,,,
Pleb,74207,,,PASS,,,,,,,
Point,3998,PASS,,PASS,,PASS,,PASS,,,
Pollyon,75199,PASS,,PASS,,PASS,PASS,,,,
Pompano,82311,PASS,,PASS,,PASS,,,,,
Popeye,18704,PASS,PASS,PASS,,PASS,PASS,,,PASS,PASS
Pops,50234,,,,,,PASS,,,,
Poseidon,96738,PASS,PASS,PASS,,PASS,PASS,,,PASS,PASS
Power,,PASS,,PASS,,PASS,PASS,PASS,,PASS,PASS
Presto,27912,PASS,,PASS,,PASS,PASS,,,PASS,
Price,13579,PASS,,PASS,,,,,,,
Primus,88070,PASS,,PASS,,,PASS,,,,
Pro,25340,PASS,PASS,PASS,,PASS,PASS,PASS,,PASS,PASS
Prof,15775,PASS,,PASS,,PASS,PASS,,,PASS,PASS
Projekt,19410,PASS,,PASS,,PASS,PASS,,,PASS,PASS
Purdy,58588,PASS,,PASS,,PASS,PASS,,,PASS,PASS
Purge,94111,PASS,PASS,PASS,,PASS,PASS,,,PASS,PASS
Queeck,14879,,,PASS,,,,,,PASS,
Rackor,10257,PASS,,PASS,,,PASS,,,,
Radar,79190,PASS,,PASS,,,,PASS,,PASS,PASS
Rader,79190,,,,,,,,,PASS,
Rage,91455,PASS,,PASS,,,PASS,,,,
Raider,12071,PASS,,,,,,,,,
Raktharg,30128,PASS,,PASS,,PASS,PASS,,,PASS,PASS
Ralor,15119,,,,,,,,PASS,,
Raloris,62689,PASS,,PASS,,PASS,PASS,PASS,,,
Ranger,,PASS,PASS,PASS,,,PASS,,,PASS,PASS
Ranque,9890,PASS,,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
Raptor,7171,PASS,,PASS,,PASS,,,,,
Rasta,87653,PASS,,PASS,,PASS,PASS,,,PASS,PASS
Rath,21075,PASS,,PASS,,,,,,,
Rathalos,58571,PASS,,PASS,,PASS,PASS,,,PASS,
Rathian,10239,PASS,,PASS,,PASS,PASS,,,,
Raykan,8060,PASS,,PASS,,,PASS,,,,
Rayne,08613,PASS,,PASS,PASS,PASS,PASS,,PASS,PASS,PASS
Rayth,14156,PASS,,PASS,,PASS,,,,,
Rayver,86154,PASS,,PASS,,,PASS,,,,
Raz,3356,,,,,,PASS,,,,
Rebellion,28601,PASS,PASS,PASS,,PASS,PASS,PASS,PASS,PASS,PASS
Reck,,,,PASS,,PASS,,,,PASS,PASS
Red,47038,PASS,,PASS,,,,,,PASS,
Redding,76009,PASS,,PASS,,,PASS,,,,
Reibre,61088,PASS,,,,,,,,,
Renorick,45223,,,,,,,,,,
Restless,24072,PASS,,PASS,,,,,,,
Revos,,PASS,,PASS,,,,,,PASS,
Rexi,14775,PASS,,,,,,,,,
Rhino,91327,PASS,PASS,PASS,,,,PASS,,PASS,PASS
Richard,61179,PASS,PASS,PASS,,PASS,PASS,,,PASS,PASS
Rick,35179,PASS,PASS,PASS,,PASS,PASS,,,PASS,PASS
Ricochet,32052,PASS,PASS,PASS,,PASS,PASS,,,PASS,PASS
Riddle,52627,PASS,,PASS,,PASS,PASS,,,,PASS
Riku,58641,PASS,,PASS,,PASS,,,,,
Riley,8797,PASS,,,,,PASS,,,,
Ripjaw,27723,PASS,PASS,,,PASS,PASS,PASS,,PASS,
Ritter,10962,PASS,PASS,PASS,,PASS,PASS,,,,PASS
Rive,61412,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
Roadboy,1612,PASS,,PASS,,PASS,,,,,
Roads,88454,PASS,,PASS,,,,,,PASS,
roads,88454,PASS,,PASS,,,,,,PASS,
Roasty,78221,PASS,PASS,PASS,,PASS,PASS,,,PASS,PASS
Rocket,24314,PASS,,PASS,,,,,,,
Rogue,56814,PASS,,,,,,,,,
Rook,,,,PASS,,,PASS,,,PASS,PASS
Rootes,60964,,,,,,,,,,
Rory,3511,PASS,,PASS,,PASS,PASS,PASS,,PASS,PASS
Roster,2137,PASS,,PASS,,PASS,PASS,,,,
Royal,9214,,,,,,PASS,,,,
Runi,26426,PASS,PASS,PASS,,PASS,PASS,,,PASS,
Runic,14852,PASS,,PASS,,,PASS,,,,
Runner,44060,PASS,,PASS,,PASS,PASS,,,PASS,PASS
Rupert,65285,PASS,,PASS,,PASS,PASS,,,PASS,PASS
Rushmore,13878,,,,,PASS,PASS,,,PASS,PASS
Ryker,31249,,,,,,,,,PASS,
Rys,,,,,,,,,,PASS,PASS
Saiko,48077,PASS,,PASS,,PASS,PASS,,,PASS,PASS
Sakke,78456,PASS,,PASS,PASS,PASS,PASS,PASS,,PASS,PASS
Saltopus,98941,PASS,,,,PASS,,,,PASS,PASS
saltopus,98941,PASS,,,,PASS,,,,PASS,PASS
Salvatore,75541,PASS,PASS,PASS,,PASS,PASS,,,PASS,PASS
Salvo,,,,PASS,,PASS,PASS,,,PASS,PASS
Sam,,PASS,PASS,,,PASS,PASS,,,PASS,PASS
Samot,43202,,,,,,,,,,
Sandman,10331,PASS,,PASS,,PASS,PASS,PASS,,,
sandman,10331,PASS,,PASS,,PASS,PASS,PASS,,,
Sangres,29998,PASS,,PASS,,,,,,,
Sappheron,62323,PASS,PASS,PASS,,PASS,PASS,,,PASS,PASS
Sapphire,29608,,,PASS,,,,,,PASS,
Saprez,53431,PASS,PASS,PASS,,PASS,PASS,,,PASS,PASS
Sawman,18090,PASS,,PASS,,,,,,,
Sazi,99607,PASS,,PASS,,PASS,PASS,,,PASS,
Scanlon,11699,PASS,PASS,PASS,,PASS,PASS,PASS,,PASS,PASS
Scarab,71124,PASS,PASS,PASS,PASS,PASS,PASS,,,PASS,PASS
Scard,21523,PASS,PASS,PASS,,PASS,PASS,,,PASS,PASS
Scavenger,17189,PASS,,PASS,,PASS,PASS,,,PASS,PASS
schames,15667,PASS,PASS,PASS,,PASS,PASS,,,PASS,PASS
Schames,15667,PASS,PASS,PASS,,PASS,PASS,,,PASS,PASS
Schnuffles,22002,,,,,,PASS,,,,
Scottish,31425,PASS,,PASS,,,PASS,,,,
Scotty,37358,PASS,,PASS,,,,,,,
Screw,54278,PASS,,,,,,,,,
Scruff,52255,PASS,PASS,PASS,,PASS,PASS,,,PASS,PASS
Scrungo,88622,,,PASS,,PASS,,,,PASS,PASS
Scuba,,,,,,,,,,PASS,
Seejers,42373,PASS,,PASS,,PASS,PASS,,,PASS,PASS
Sense,24889,,,PASS,,PASS,,PASS,,PASS,PASS
Sentinel,85246,PASS,,,,PASS,PASS,,,,PASS
September,40916,PASS,,PASS,,PASS,PASS,PASS,,PASS,PASS
Septic,87970,PASS,,,,,,,,,
Seraphim ,13572,,,,,,,,,,
Serin,49102,PASS,,PASS,,PASS,PASS,,,PASS,PASS
Shade,5320,,,,,,,,,PASS,PASS
Shadow,91798,PASS,,PASS,,PASS,PASS,,,PASS,PASS
Shape,81727,PASS,PASS,PASS,,PASS,PASS,,,PASS,PASS
Shark,56584,PASS,PASS,,,PASS,PASS,,,,
Shatter,18845,,,,,,,,,,
Shifter,48025,PASS,,PASS,,,,,,,
Shifty,23983,PASS,,,,,PASS,,,,
Shinpho,77711,PASS,,PASS,,PASS,PASS,,,PASS,PASS
Shiv,3293,,,,,,,,,,PASS
Shnuffles,22002,PASS,PASS,PASS,,PASS,,,,PASS,PASS
Shock,86754,,,,,,,,,PASS,
Shot,24275,PASS,,,,,,,,PASS,PASS
Shoto,57693,,,PASS,,,PASS,,,,
Shredded,24198,PASS,,,,PASS,PASS,,,,
Shroom,25311,PASS,PASS,PASS,,PASS,PASS,,,PASS,PASS
Shrub,13878,PASS,,PASS,,,,,,PASS,
Sideways,2940,PASS,PASS,PASS,,PASS,PASS,,,PASS,PASS
Sierra,19357,PASS,PASS,PASS,,PASS,PASS,PASS,,PASS,PASS
Sigma,18657,PASS,PASS,,PASS,PASS,PASS,PASS,,PASS,PASS
Silver,98920,PASS,,PASS,,PASS,PASS,,,,
Simon,93019,PASS,,PASS,,PASS,PASS,,,PASS,PASS
Singed,90119,PASS,PASS,PASS,,PASS,PASS,PASS,PASS,PASS,PASS
Skali,,,,,,,,,,PASS,
Skit,51034,PASS,,PASS,,,,,,PASS,PASS
Skittles,2149,,,PASS,,,PASS,,,PASS,
Skynyrd,15119,PASS,,PASS,PASS,PASS,,PASS,PASS,PASS,PASS
Sledge,42452,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,PASS,PASS
Slim,10101,PASS,PASS,PASS,,PASS,PASS,,,PASS,PASS
Sloth,97215,,,PASS,,,,,,,
Slugger,85705,PASS,,PASS,,,,,,,
Slurps,36419,PASS,,PASS,,PASS,PASS,,,,
Slyder,31142,PASS,PASS,,,PASS,PASS,,,PASS,
Smiley,45094,PASS,PASS,PASS,,PASS,PASS,,,PASS,PASS
Snarley,10101,,,PASS,,PASS,PASS,,,PASS,PASS
Snarly,10101,,PASS,,,,,,,,
Snippy,96531,PASS,PASS,PASS,,PASS,PASS,,,PASS,PASS
Snivy,41342,PASS,PASS,PASS,,PASS,PASS,PASS,,PASS,PASS
Snoopy,14522,PASS,,PASS,PASS,PASS,PASS,,,PASS,PASS
Snorri,84658,PASS,,PASS,,PASS,PASS,,,PASS,PASS
Solace,12393,,,PASS,,PASS,,,,,
Solaire,50352,PASS,,PASS,,PASS,PASS,,,,
Sophia,87508,PASS,,PASS,,PASS,PASS,,,,
Soren,88590,PASS,,PASS,,,,,,,
Sorensic,1409,PASS,,PASS,,PASS,,,,,
Sounder,31093,PASS,,PASS,,PASS,PASS,,,PASS,PASS
Sour,12447,PASS,,PASS,,,,PASS,,PASS,PASS
Soviet,19220,PASS,PASS,PASS,,PASS,PASS,,,,PASS
Soyvolon,42127,PASS,,PASS,,PASS,PASS,PASS,,PASS,PASS
Spark,94231,,,PASS,,,,PASS,,PASS,PASS
Sparrow,10713,PASS,PASS,PASS,,PASS,PASS,,,PASS,PASS
Sparticus,78060,PASS,PASS,PASS,,PASS,PASS,PASS,,PASS,PASS
Spear,11212,,,,,,,,,,
Spec,21693,PASS,,PASS,PASS,PASS,PASS,PASS,,,PASS
Spex,19429,PASS,,PASS,,PASS,PASS,,,,
Spider,91019,,,,,,,,,PASS,
Spilberge,83025,PASS,,PASS,,PASS,PASS,,,PASS,PASS
Spire,26997,PASS,PASS,PASS,PASS,PASS,PASS,,,PASS,PASS
Sponge,45780,PASS,PASS,PASS,,PASS,PASS,,,PASS,PASS
Spree,12199,PASS,,PASS,,,PASS,,,,
Spud,50454,PASS,PASS,PASS,,PASS,PASS,PASS,,PASS,PASS
Spyro,78021,PASS,,,,,,,,,
Squids,13520,PASS,PASS,PASS,,PASS,PASS,,,PASS,PASS
Squire,34455,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,PASS,PASS
squire,34455,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,PASS,PASS
Steps,11575,PASS,,PASS,,,PASS,,,PASS,PASS
Stew,85996,,,PASS,,,,,,,
Stewie,19847,PASS,,PASS,,,PASS,,,,
Stiches,69514,,,PASS,,,,,,,
Sticks,28357,PASS,,PASS,,PASS,PASS,,,PASS,PASS
Stitches,69514,PASS,,,,PASS,PASS,,,PASS,PASS
Stoanes,12530,PASS,,PASS,,PASS,PASS,PASS,,PASS,PASS
Stoic,56784,,,,,,,PASS,,PASS,PASS
Storm,9168,PASS,PASS,,,PASS,PASS,PASS,PASS,PASS,PASS
Stove,31998,,,PASS,,,,,,,
Strill,2900,PASS,PASS,PASS,,PASS,PASS,,,PASS,PASS
Sunday,73036,PASS,,PASS,,PASS,PASS,,,PASS,PASS
Sunshine,64021,PASS,,PASS,,PASS,PASS,,,PASS,PASS
Super,15744,PASS,PASS,PASS,,PASS,PASS,,,PASS,PASS
Swanny,23665,PASS,PASS,PASS,,,PASS,PASS,,PASS,PASS
Sword,42937,PASS,,,,,,,,,
Syder,31142,,,,,,,PASS,,,
Taco,99647,PASS,,PASS,,PASS,PASS,,,PASS,PASS
Taken,83475,PASS,,PASS,,PASS,PASS,,,PASS,PASS
Tal,17077,PASS,PASS,,,PASS,PASS,PASS,,PASS,PASS
Tallon,51515,PASS,PASS,PASS,,PASS,PASS,,,PASS,PASS
Target,6659,PASS,,PASS,,PASS,PASS,PASS,,PASS,PASS
Tarrasque,80311,PASS,,PASS,,,,,,,
Tatum,25152,PASS,PASS,PASS,,PASS,PASS,,,PASS,
Teacup,11707,PASS,PASS,PASS,,PASS,PASS,,,PASS,PASS
Technogeist,9846,PASS,,PASS,,PASS,PASS,,,,
Tee,12319,,,PASS,PASS,PASS,PASS,,,PASS,PASS
Telaran,--,,,,,,,,,,
Telerus,71504,PASS,,,,,,,,,
TEST,0000,,,,PASS,,,,,,
Texas,17608,PASS,,PASS,,,PASS,PASS,PASS,PASS,PASS
Thade,12890,PASS,,PASS,,PASS,PASS,,,PASS,PASS
Thanorlin,48660,,,,,,PASS,,,PASS,PASS
Thor,7956,PASS,,PASS,,PASS,PASS,,,PASS,
Thunder,28110,,,PASS,,,,,,PASS,
Tideend,16544,PASS,PASS,PASS,,PASS,PASS,,,PASS,
Tim,68975,PASS,,,,PASS,,,,,
Timer,14002,PASS,,PASS,,,PASS,,,,
Toast,17676,PASS,,PASS,,,,,,PASS,
Toby,65670,,,,,,,,,,
Tom,31759,PASS,PASS,PASS,,PASS,PASS,,,PASS,
Tombert,92129,,,PASS,,,,,,,
Torres,15599,,,,,,PASS,,,,
Train,06291,PASS,PASS,,PASS,PASS,PASS,,PASS,PASS,PASS
Trap,6142,,,,,,,,,,
Treja,50593,PASS,,PASS,,PASS,PASS,,,,
Trepz,23306,PASS,,,,,,,,,
Triage,53791,,,PASS,,,,,,PASS,PASS
Trip,52515,PASS,,PASS,,,PASS,,PASS,PASS,PASS
Truesight,54321,PASS,,PASS,,PASS,PASS,,,PASS,PASS
TrueSight,54321,PASS,,PASS,,PASS,PASS,,,PASS,PASS
Truth,16012,,,PASS,,,PASS,,,,
Tuch,79801,PASS,PASS,PASS,PASS,PASS,PASS,,PASS,PASS,PASS
Tuff,21996,PASS,PASS,PASS,,PASS,PASS,,,PASS,PASS
Tupiks,6734,PASS,,PASS,,PASS,,,,PASS,PASS
Twine,42564,,,PASS,,PASS,PASS,,,PASS,PASS
Tyler,8241,PASS,,,,,,,,,
Uncle,93084,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,PASS,PASS
Uni,21992,PASS,,PASS,,PASS,PASS,,,PASS,PASS
Universe,21578,,,PASS,,,,,,,
Urse,34521,PASS,PASS,PASS,,PASS,PASS,,,PASS,
Vakarian,11716,PASS,,,,PASS,PASS,,,PASS,PASS
Valhalla,88404,PASS,,PASS,PASS,PASS,PASS,PASS,,PASS,PASS
Valkyrr,83245,PASS,,PASS,,PASS,PASS,,,PASS,PASS
Valravn,24567,PASS,PASS,PASS,,PASS,,,,PASS,
Vanilla,41136,,,,,,PASS,,,PASS,PASS
Vegito,44721,PASS,,,,,,,,,
Vengeance,11570,PASS,,PASS,,PASS,PASS,,,PASS,
Verax,1171,,PASS,,,,PASS,,,,
Versa,56235,PASS,,PASS,,PASS,PASS,,,PASS,PASS
Versis,17810,,,PASS,,,,,,,
Vexer,11070,,,,,,,,,PASS,
Viking,61057,PASS,PASS,PASS,,PASS,PASS,,,PASS,PASS
Viperz,5367,,,,,PASS,,,,,
Virgil,83692,,,PASS,,,PASS,,,,
Virtox,26412,PASS,PASS,PASS,,PASS,PASS,,,PASS,PASS
Volley,85474,PASS,PASS,PASS,,PASS,PASS,,,PASS,PASS
Voltage,97218,PASS,,PASS,,PASS,PASS,,,PASS,
Volx,68860,,,PASS,,,,,,PASS,PASS
Von,11939,PASS,,,,,,,,,
Vukan,44013,PASS,,PASS,,,,,,,
Vulpes,53175,PASS,,PASS,,PASS,PASS,,PASS,PASS,
Vulture,19609,PASS,,PASS,,PASS,PASS,,,,
Wag,31369,PASS,PASS,PASS,,PASS,PASS,,,PASS,PASS
Walsh,88803,PASS,PASS,PASS,,,,,PASS,PASS,PASS
Wanderer,74365,PASS,,PASS,,,PASS,,,PASS,
Warlord,5920,,,,,PASS,PASS,,,,
Waylander,52161,PASS,,PASS,,PASS,PASS,,,PASS,
Waze,35127,PASS,,PASS,PASS,PASS,PASS,PASS,,PASS,PASS
Weapon,8909,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
Weaver,45365,PASS,PASS,PASS,,PASS,PASS,,,PASS,PASS
Webbo,70049,,,,,,PASS,,,,
Weepier,11077,PASS,PASS,PASS,,PASS,PASS,PASS,,PASS,
Weiss,66006,PASS,PASS,PASS,,PASS,PASS,PASS,,PASS,PASS
Whisler,55125,PASS,PASS,PASS,,PASS,PASS,,,PASS,PASS
White,2030,PASS,,,,,,,,,
Wicked,50304,PASS,,PASS,,,,,,,
Widyen,12795,PASS,PASS,PASS,,,PASS,,,PASS,PASS
Wilbur,12145,,,PASS,,,,,,,
Wilkens,59909,,,,,,,,,,
Willical,30215,PASS,,PASS,,PASS,,,,PASS,PASS
Wirtimus,19970,PASS,PASS,PASS,PASS,PASS,PASS,,,PASS,
Wombat,48365,,,PASS,,,PASS,,,,
Wood,37652,PASS,,PASS,,PASS,PASS,,,PASS,PASS
Wrath,91390,,,PASS,,,,,,,
Xavier,63685,PASS,,PASS,,PASS,PASS,,,PASS,PASS
Yaeger,35252,,,,,,,,,,
Yati,19091,PASS,PASS,PASS,,PASS,PASS,PASS,,,
Yokai,66283,PASS,,PASS,PASS,PASS,PASS,PASS,,,
York,72481,PASS,,PASS,,PASS,PASS,,,,
Young,19283,PASS,,PASS,,,,,,PASS,PASS
Yowa,58958,PASS,PASS,,,PASS,PASS,,,PASS,PASS
Zatama,41917,PASS,,PASS,,PASS,PASS,,,,
Zen,60687,PASS,,PASS,,PASS,PASS,,,,
Zena,7715,,,,,PASS,,,,,
Zero,66677,PASS,,,,,,,,,
Zeros,20340,PASS,,PASS,,,PASS,PASS,PASS,PASS,PASS
Zex,21587,PASS,,PASS,,PASS,PASS,,,PASS,
Zipper,1777,,,,,PASS,PASS,,,,
Zoozle,45718,PASS,PASS,PASS,,PASS,PASS,,,PASS,PASS
Zoro,74578,PASS,PASS,PASS,,PASS,PASS,,,PASS,PASS
Zulu,87351,PASS,PASS,PASS,,PASS,PASS,,,PASS,PASS